HSAID,HSANAME,HRRID,HRRNAME
49001,VA- ABINGDON,376,TN- KINGSPORT
49002,VA- ALEXANDRIA,426,VA- ARLINGTON
49003,VA- ARLINGTON,426,VA- ARLINGTON
49004,VA- BEDFORD,428,VA- LYNCHBURG
49005,VA- BIG STONE GAP,376,TN- KINGSPORT
49006,VA- BLACKSBURG,432,VA- ROANOKE
49007,VA- CHARLOTTESVILLE,427,VA- CHARLOTTESVILLE
49008,VA- CHESAPEAKE,430,VA- NORFOLK
49009,VA- CLINTWOOD,376,TN- KINGSPORT
49010,VA- CULPEPER,427,VA- CHARLOTTESVILLE
49011,VA- DANVILLE,312,NC- DURHAM
49012,VA- EMPORIA,431,VA- RICHMOND
49013,VA- FAIRFAX,426,VA- ARLINGTON
49014,VA- FALLS CHURCH,426,VA- ARLINGTON
49015,VA- FARMVILLE,431,VA- RICHMOND
49016,VA- FRANKLIN,430,VA- NORFOLK
49017,VA- FREDERICKSBURG,431,VA- RICHMOND
49018,VA- FRONT ROYAL,435,VA- WINCHESTER
49019,VA- GALAX,320,NC- WINSTON-SALEM
49020,VA- GLOUCESTER,429,VA- NEWPORT NEWS
49021,VA- GRUNDY,376,TN- KINGSPORT
49022,VA- HAMPTON,429,VA- NEWPORT NEWS
49023,VA- HARRISONBURG,427,VA- CHARLOTTESVILLE
49024,VA- HOPEWELL,431,VA- RICHMOND
49025,VA- HOT SPRINGS,427,VA- CHARLOTTESVILLE
49026,VA- KILMARNOCK,431,VA- RICHMOND
49027,VA- LEBANON,376,TN- KINGSPORT
49028,VA- LEESBURG,426,VA- ARLINGTON
49029,VA- LEXINGTON,432,VA- ROANOKE
49030,VA- LOW MOOR,432,VA- ROANOKE
49031,VA- LURAY,435,VA- WINCHESTER
49032,VA- LYNCHBURG,428,VA- LYNCHBURG
49033,VA- MANASSAS,426,VA- ARLINGTON
49034,VA- MARION,376,TN- KINGSPORT
49035,VA- MARTINSVILLE,312,NC- DURHAM
49036,VA- NASSAWADOX,430,VA- NORFOLK
49037,VA- NEWPORT NEWS,429,VA- NEWPORT NEWS
49038,VA- NORFOLK,430,VA- NORFOLK
49039,VA- NORTON,376,TN- KINGSPORT
49040,VA- PEARISBURG,432,VA- ROANOKE
49041,VA- PENNINGTON GAP,376,TN- KINGSPORT
49042,VA- PETERSBURG,431,VA- RICHMOND
49043,VA- PORTSMOUTH,430,VA- NORFOLK
49044,VA- PULASKI,432,VA- ROANOKE
49045,VA- RADFORD,432,VA- ROANOKE
49046,VA- RESTON,426,VA- ARLINGTON
49047,VA- RICHLANDS,376,TN- KINGSPORT
49048,VA- RICHMOND,431,VA- RICHMOND
49049,VA- ROANOKE,432,VA- ROANOKE
49050,VA- ROCKY MOUNT,432,VA- ROANOKE
49051,VA- SALEM,432,VA- ROANOKE
49052,VA- SOUTH BOSTON,312,NC- DURHAM
49053,VA- SOUTH HILL,431,VA- RICHMOND
49054,VA- STAUNTON,427,VA- CHARLOTTESVILLE
49055,VA- STUART,320,NC- WINSTON-SALEM
49056,VA- SUFFOLK,430,VA- NORFOLK
49057,VA- TAPPAHANNOCK,431,VA- RICHMOND
49058,VA- TAZEWELL,432,VA- ROANOKE
49059,VA- VIRGINIA BEACH,430,VA- NORFOLK
49060,VA- WARRENTON,426,VA- ARLINGTON
49062,VA- WILLIAMSBURG,429,VA- NEWPORT NEWS
49063,VA- WINCHESTER,435,VA- WINCHESTER
49065,VA- WOODBRIDGE,426,VA- ARLINGTON
49066,VA- WOODSTOCK,435,VA- WINCHESTER
49067,VA- WYTHEVILLE,432,VA- ROANOKE
